Date	Area	Done	"To Do"	"To Do - not sized"
04-11-2020      Publishing      293.45  125.55  0
04-11-2020      Enhancements    1591.65 1164.35 1440
04-11-2020      History 236.4   59.6    864
04-11-2020      Compliance      0       288     0
04-11-2020      Reports 43.85   587.15  144
04-11-2020      Referrals       4.45    139.55  0
18-11-2020 Publishing	322.25	96.75	0
18-11-2020 Enhancements	1706.75	1049.25	1440
18-11-2020 History	259.45	36.55	864
18-11-2020 Compliance	0	288	0
18-11-2020 Reports	51.05	579.95	144
18-11-2020 Referrals	4.45	139.55	0
