roadmap02122020.dat
Area	Done	"To Do"	"To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1713.55	1042.45	1440
History	379.1	60.9	864
Compliance	0	288	0
Reports	53.93	577.07	144
Referrals	4.45	139.55	0
roadmap03022021.dat
Area	Done	"To Do"	"To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1724.15	1031.85	1728
History	434.1	60.9	720
Compliance	0	288	0
Reports	123.3	507.7	144
Referrals	4.45	139.55	0
roadmap04112020.dat
Area	Done	"To Do"	"To Do - not sized"
Publishing	293.45	125.55	0
Enhancements	1591.65	1164.35	1440
History	236.4	59.6	864
Compliance	0	288	0
Reports	43.85	587.15	144
Referrals	4.45	139.55	0

roadmap10032021.dat
Area	Done	"To Do"	"To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1726.53	995.47	1728
History	453.35	75.65	720
Compliance	0	288	0
Reports	137.7	493.3	144
Referrals	4.45	139.55	0
roadmap13012021.dat
Area	Done	"To Do"	"To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1722.45	1033.55	1728
History	406.6	88.4	720
Compliance	0	288	0
Reports	93.85	537.15	144
Referrals	4.45	139.55	0

roadmap16122020.dat
Area	Done	"To Do"	"To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1722.45	1033.55	1440
History	406.6	88.4	720
Compliance	0	288	0
Reports	58.25	572.75	144
Referrals	4.45	139.55	0
roadmap17112020.dat
Area	Done	"To Do"	"To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1706.75	1049.25	1440
History	259.45	36.55	864
Compliance	0	288	0
Reports	51.05	579.95	144
Referrals	4.45	139.55	0
roadmap21122020.dat
Area	Done	"To Do"	"To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1722.45	1033.55	1440
History	406.6	88.4	720
Compliance	0	288	0
Reports	58.25	572.75	144
Referrals	4.45	139.55	0
roadmap24022021.dat
Area	Done	"To Do"	"To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1724.83	1031.17	1728
History	439.6	55.4	720
Compliance	0	288	0
Reports	123.3	507.7	144
Referrals	4.45	139.55	0
roadmap24032021.dat
Area	Done	"To Do"	"To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1729.93	992.07	1728
History	453.35	75.65	720
Compliance	0	288	0
Reports	166.5	464.5	144
Referrals	4.45	139.55	0
roadmap21042021.dat
Area    Done    "To Do" "To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1729.93	992.07	1728
History	453.35	75.65	720
Compliance	0	288	0
Reports	195.3	435.7	144
Referrals	4.45	139.55	0
roadmap28042021.dat
Area    Done    "To Do" "To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1729.93	992.07	1728
History	453.35	75.65	720
Compliance	0	288	0
Reports	195.3	435.7	144
Referrals	4.45	139.55	0
roadmap05052021.dat
Area    Done    "To Do" "To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1746.93	975.07	1728
History	453.35	75.65	720
Compliance	0	288	0
Reports	224.1	406.9	144
Referrals	4.45	139.55	0

roadmap19052021.dat
Area    Done    "To Do" "To Do - not sized"
Publishing	322.25	96.75	0
Enhancements	1748.63	1117.37	1584
History	453.35	75.65	720
Compliance	0	288	0
Reports	233	398	144
Referrals	4.45	139.55	0
